map_id,player,team,agent,kills,deaths,assists,acs,adr,hs_percent,kd_ratio,source
660379_2,vora100T,team_b,Sova,1147,1477,936,154104206.0,0.0,0.0,0.7765741367637102,vlr
660379_2,Timotino100T,team_b,Neon,18711,19109,330,210174248.0,0.0,0.0,0.9791721178502276,vlr
660379_2,Asuna100T,team_b,Phoenix,1266,21129,725,171165178.0,0.0,0.0,0.0599176487292347,vlr
660379_2,bang100T,team_b,Harbor,514,1798,1037,7836120.0,0.0,0.0,0.28587319243604,vlr
660380_0,trentG2,,Fade,1358,743,1376,213140312.0,0.0,0.0,1.8277254374158816,vlr
660380_0,BABYBAYG2,,Vyse,20137,1376,541,271304229.0,0.0,0.0,14.634447674418604,vlr
660380_0,leafG2,,Viper,1394,1486,541,184236116.0,0.0,0.0,0.9380888290713324,vlr
660380_0,valynG2,,Omen,14104,1156,862,154175127.0,0.0,0.0,12.200692041522492,vlr
660380_0,jawgemoG2,,Raze,15105,1587,422,196224161.0,0.0,0.0,9.5179584120983,vlr
660380_0,brawkNRG,team_b,Vyse,15411,1367,624,215150265.0,0.0,0.0,11.273591806876372,vlr
660380_0,skubaNRG,team_b,Viper,1248,1569,101,166120201.0,0.0,0.0,0.7954110898661568,vlr
660380_0,keikoNRG,team_b,Omen,1275,16511,1055,165220124.0,0.0,0.0,0.077221246441766,vlr
660380_0,madaNRG,team_b,Neon,1477,16511,211,185215163.0,0.0,0.0,0.0894555145054812,vlr
660380_0,EthanNRG,team_b,Fade,761,1569,844,11118954.0,0.0,0.0,0.4850223072020395,vlr
660380_2,trentG2,,Sova,14122,1697,211,195163251.0,0.0,0.0,8.321744254566882,vlr
660380_2,leafG2,,Astra,1486,16106,321,216274118.0,0.0,0.0,0.0922637526387681,vlr
660380_2,valynG2,,Harbor,972,16106,752,17923977.0,0.0,0.0,0.0603501800571215,vlr
660380_2,jawgemoG2,,Neon,12102,15105,110,161188116.0,0.0,0.0,0.8011916583912612,vlr
660380_2,BABYBAYG2,,Vyse,1064,17116,440,151139172.0,0.0,0.0,0.0621640570226688,vlr
660380_2,keikoNRG,team_b,Jett,1587,13310,101,257228274.0,0.0,0.0,0.1192336589030804,vlr
