map_id,team,agent_1,agent_2,agent_3,agent_4,agent_5,source
681782_3,RIDDLE ORDER,Vyse,Fade,Neon,Viper,Omen,vlr
681783_0,REJECT,Viper,Phoenix,Sova,Harbor,Jett,vlr
681783_2,REJECT,Chamber,Raze,Omen,Fade,Viper,vlr
681783_3,REJECT,Astra,Jett,Phoenix,Killjoy,Sova,vlr
681784_0,FENNEL,Omen,Sova,Jett,Phoenix,Cypher,vlr
681784_2,FENNEL,Vyse,Viper,Raze,Omen,Fade,vlr
681784_3,FENNEL,Sage,Jett,Fade,Omen,Viper,vlr
681785_0,RIDDLE ORDER,Omen,KAY/O,Vyse,Sova,Jett,vlr
681785_2,RIDDLE ORDER,Omen,Neon,Fade,Vyse,Viper,vlr
681785_3,RIDDLE ORDER,Harbor,Viper,Sova,Neon,KAY/O,vlr
681786_0,REJECT,Phoenix,Viper,Sova,Harbor,Jett,vlr
681786_2,REJECT,Phoenix,Killjoy,Astra,Jett,Fade,vlr
681787_0,Insomnia,Jett,Fade,Raze,Vyse,Omen,vlr
681787_2,Insomnia,Omen,Sova,Neon,Cypher,Deadlock,vlr
681788_0,REJECT,Neon,Omen,Skye,Raze,Viper,vlr
681788_2,REJECT,Omen,Jett,Deadlock,Cypher,Sova,vlr
681789_0,RIDDLE ORDER,Sova,Jett,Vyse,Omen,KAY/O,vlr
681789_3,RIDDLE ORDER,Neon,Fade,Viper,Vyse,Omen,vlr
681790_0,Insomnia,Sova,Harbor,Jett,KAY/O,Viper,vlr
681790_2,Insomnia,Deadlock,Jett,Omen,Cypher,Sova,vlr
681790_3,Insomnia,Jett,Astra,Fade,Phoenix,Killjoy,vlr
681791_0,QT DIG∞,Jett,Phoenix,Cypher,Omen,Sova,vlr
681791_2,QT DIG∞,Astra,Fade,Jett,Phoenix,Killjoy,vlr
681791_0,QT DIG∞,Jett,Phoenix,Cypher,Omen,Sova,vlr
681791_2,QT DIG∞,Astra,Fade,Jett,Phoenix,Killjoy,vlr
681790_0,Insomnia,Sova,Harbor,Jett,KAY/O,Viper,vlr
681790_2,Insomnia,Deadlock,Jett,Omen,Cypher,Sova,vlr
681790_3,Insomnia,Jett,Astra,Fade,Phoenix,Killjoy,vlr
681789_0,RIDDLE ORDER,Sova,Jett,Vyse,Omen,KAY/O,vlr
681789_3,RIDDLE ORDER,Neon,Fade,Viper,Vyse,Omen,vlr
681788_0,REJECT,Neon,Omen,Skye,Raze,Viper,vlr
681788_2,REJECT,Omen,Jett,Deadlock,Cypher,Sova,vlr
681787_0,Insomnia,Jett,Fade,Raze,Vyse,Omen,vlr
681787_2,Insomnia,Omen,Sova,Neon,Cypher,Deadlock,vlr
681636_0,Ghost Gaming,Astra,Neon,Fade,Chamber,Phoenix,vlr
681636_2,Ghost Gaming,Viper,Raze,Fade,Omen,Vyse,vlr
681636_3,Ghost Gaming,Neon,Vyse,Omen,Fade,Viper,vlr
681637_0,Wadadaa,Phoenix,Jett,Omen,Sova,Vyse,vlr
681637_2,Wadadaa,Skye,Omen,Chamber,Raze,Viper,vlr
681638_0,:3,Omen,Deadlock,Vyse,Sova,Jett,vlr
681638_2,:3,Omen,Jett,Vyse,Raze,Fade,vlr
681640_2,FlyQuest RED,Neon,Viper,Omen,Sova,Killjoy,vlr
681641_0,SwimTrek Blue,Brimstone,Neon,Fade,Raze,Chamber,vlr
681641_2,SwimTrek Blue,Fade,Vyse,Neon,Iso,Omen,vlr
681644_0,Wadadaa,Sova,Omen,Phoenix,Jett,Vyse,vlr
681644_2,Wadadaa,Astra,Chamber,Neon,Sova,Vyse,vlr
681644_3,Wadadaa,Chamber,Jett,Astra,Viper,Sova,vlr
681645_0,Sentinels,Phoenix,Killjoy,Astra,Jett,Fade,vlr
681645_2,Sentinels,Vyse,Jett,Fade,Phoenix,Omen,vlr
681645_0,Sentinels,Phoenix,Killjoy,Astra,Jett,Fade,vlr
681645_2,Sentinels,Vyse,Jett,Fade,Phoenix,Omen,vlr
681641_0,SwimTrek Blue,Brimstone,Neon,Fade,Raze,Chamber,vlr
681641_2,SwimTrek Blue,Fade,Vyse,Neon,Iso,Omen,vlr
681640_2,FlyQuest RED,Neon,Viper,Omen,Sova,Killjoy,vlr
681644_0,Wadadaa,Sova,Omen,Phoenix,Jett,Vyse,vlr
681644_2,Wadadaa,Astra,Chamber,Neon,Sova,Vyse,vlr
681644_3,Wadadaa,Chamber,Jett,Astra,Viper,Sova,vlr
668473_0,ELEVATE,Neon,Omen,Chamber,Fade,Viper,vlr
668473_2,ELEVATE,Chamber,Astra,Phoenix,Neon,Sova,vlr
668473_3,ELEVATE,Omen,Phoenix,Chamber,Neon,Sova,vlr
668474_0,Team Liquid Brazil,Neon,Sova,Viper,KAY/O,Harbor,vlr
668474_2,Team Liquid Brazil,Raze,Astra,Skye,Neon,Viper,vlr
668475_0,TEAM EGO,Phoenix,Sova,Neon,Harbor,Viper,vlr
668475_2,TEAM EGO,Neon,Phoenix,Cypher,Fade,Brimstone,vlr
668482_2,RED Canids,Omen,Viper,Fade,Neon,Vyse,vlr
668482_3,RED Canids,Neon,Vyse,Fade,Viper,Omen,vlr
668481_0,INTZ,Vyse,Omen,Fade,Neon,Viper,vlr
668481_2,INTZ,Neon,Sova,Astra,Killjoy,Phoenix,vlr
668483_0,Team Liquid Brazil,Viper,Omen,Neon,Fade,Vyse,vlr
668491_0,LA MASIA,Astra,Vyse,Sova,Neon,Phoenix,vlr
668490_0,TEAM EGO,Phoenix,Neon,Fade,Astra,Cypher,vlr
668490_2,TEAM EGO,Fade,Omen,Neon,Vyse,Viper,vlr
668492_0,RED Canids,Neon,Viper,Vyse,Omen,Fade,vlr
668492_2,RED Canids,Harbor,Viper,Jett,Sova,KAY/O,vlr
681912_0,TEAM EGO,Cypher,Astra,Fade,Neon,Phoenix,vlr
681912_2,TEAM EGO,Phoenix,Vyse,Sova,Neon,Omen,vlr
681911_2,LA MASIA,Jett,Astra,KAY/O,Sova,Cypher,vlr
681913_2,Team Liquid Brazil,Raze,Omen,Vyse,Viper,Fade,vlr
681919_0,Team Liquid Brazil,KAY/O,Harbor,Jett,Sova,Viper,vlr
681919_2,Team Liquid Brazil,Sova,Killjoy,Jett,Omen,KAY/O,vlr
681918_0,TEAM EGO,Phoenix,Chamber,Neon,Astra,Fade,vlr
681918_2,TEAM EGO,Phoenix,Cypher,Fade,Neon,Astra,vlr
681918_3,TEAM EGO,Vyse,Neon,Omen,Phoenix,Fade,vlr
681920_0,INTZ,Fade,Omen,Vyse,Raze,Viper,vlr
681920_2,INTZ,Sova,Phoenix,Omen,Jett,Cypher,vlr
681920_3,INTZ,Raze,Skye,Omen,Viper,Jett,vlr
668470_0,TBK Esports,Omen,Viper,Raze,Vyse,Fade,vlr
668471_2,ABACATUDOS,Astra,Neon,Chamber,Phoenix,Sova,vlr
668472_2,F4TALITY,Chamber,Viper,Neon,Omen,Fade,vlr
668472_3,F4TALITY,Neon,Chamber,Omen,Phoenix,Fade,vlr
668478_0,MIBR Academy,Fade,Neon,Phoenix,Cypher,Astra,vlr
668478_2,MIBR Academy,Sova,Cypher,Omen,Neon,Phoenix,vlr
668479_0,PEEK,Omen,Phoenix,Cypher,Neon,Sova,vlr
668479_2,PEEK,Breach,Brimstone,Chamber,Skye,Raze,vlr
668480_0,ABACATUDOS,Astra,Phoenix,Neon,Chamber,Sova,vlr
668488_2,FURIA Academy,Chamber,Phoenix,Astra,Neon,Sova,vlr
668488_3,FURIA Academy,Neon,Fade,Brimstone,Breach,Chamber,vlr
668487_0,F4TALITY,Viper,Fade,Omen,Vyse,Neon,vlr
668489_0,PEEK,Vyse,Omen,Neon,Viper,Fade,vlr
