round_id,map_id,round_number,winner,win_type,spike_planted,econ_a,econ_b,duration_seconds,source
660373_3_1,660373_3,1,draw/unknown,elimination,False,0,0,,vlr
660373_3_2,660373_3,2,draw/unknown,elimination,False,0,0,,vlr
660373_3_3,660373_3,3,draw/unknown,elimination,False,0,0,,vlr
660373_3_4,660373_3,4,draw/unknown,elimination,False,0,0,,vlr
660373_3_5,660373_3,5,draw/unknown,elimination,False,0,0,,vlr
660373_3_6,660373_3,6,draw/unknown,elimination,False,0,0,,vlr
660373_3_7,660373_3,7,draw/unknown,elimination,False,0,0,,vlr
660373_3_8,660373_3,8,draw/unknown,spike,True,0,0,,vlr
660373_3_9,660373_3,9,draw/unknown,elimination,False,0,0,,vlr
660373_3_10,660373_3,10,draw/unknown,elimination,False,0,0,,vlr
660373_3_11,660373_3,11,draw/unknown,elimination,False,0,0,,vlr
660373_3_12,660373_3,12,draw/unknown,elimination,False,0,0,,vlr
660373_3_13,660373_3,13,draw/unknown,defuse,True,0,0,,vlr
660373_3_14,660373_3,14,draw/unknown,defuse,True,0,0,,vlr
660373_3_15,660373_3,15,draw/unknown,elimination,False,0,0,,vlr
660373_3_16,660373_3,16,draw/unknown,elimination,False,0,0,,vlr
660373_3_17,660373_3,17,draw/unknown,elimination,False,0,0,,vlr
660373_3_18,660373_3,18,draw/unknown,elimination,False,0,0,,vlr
660373_3_19,660373_3,19,draw/unknown,elimination,False,0,0,,vlr
660373_3_20,660373_3,20,draw/unknown,elimination,False,0,0,,vlr
660373_3_21,660373_3,21,draw/unknown,elimination,False,0,0,,vlr
660373_3_22,660373_3,22,draw/unknown,elimination,False,0,0,,vlr
660373_3_23,660373_3,23,draw/unknown,elimination,False,0,0,,vlr
660373_3_24,660373_3,24,draw/unknown,elimination,False,0,0,,vlr
660374_0_1,660374_0,1,draw/unknown,elimination,False,0,0,,vlr
660374_0_1,660374_0,1,draw/unknown,elimination,False,0,0,,vlr
660374_0_1,660374_0,1,draw/unknown,elimination,False,0,0,,vlr
660374_0_2,660374_0,2,draw/unknown,elimination,False,0,0,,vlr
660374_0_3,660374_0,3,draw/unknown,elimination,False,0,0,,vlr
660374_0_4,660374_0,4,draw/unknown,elimination,False,0,0,,vlr
660374_0_5,660374_0,5,draw/unknown,elimination,False,0,0,,vlr
660374_0_6,660374_0,6,draw/unknown,elimination,False,0,0,,vlr
660374_0_7,660374_0,7,draw/unknown,elimination,False,0,0,,vlr
660374_0_8,660374_0,8,draw/unknown,elimination,False,0,0,,vlr
660374_0_9,660374_0,9,draw/unknown,elimination,False,0,0,,vlr
660374_0_10,660374_0,10,draw/unknown,elimination,False,0,0,,vlr
660374_0_11,660374_0,11,draw/unknown,elimination,False,0,0,,vlr
660374_0_12,660374_0,12,draw/unknown,elimination,False,0,0,,vlr
660374_0_13,660374_0,13,draw/unknown,elimination,False,0,0,,vlr
660374_0_14,660374_0,14,draw/unknown,elimination,False,0,0,,vlr
660374_0_15,660374_0,15,draw/unknown,elimination,False,0,0,,vlr
660374_0_16,660374_0,16,draw/unknown,elimination,False,0,0,,vlr
660374_0_17,660374_0,17,draw/unknown,elimination,False,0,0,,vlr
660374_0_18,660374_0,18,draw/unknown,elimination,False,0,0,,vlr
660374_0_19,660374_0,19,draw/unknown,elimination,False,0,0,,vlr
660374_0_20,660374_0,20,draw/unknown,elimination,False,0,0,,vlr
660374_0_21,660374_0,21,draw/unknown,elimination,False,0,0,,vlr
660374_0_22,660374_0,22,draw/unknown,elimination,False,0,0,,vlr
660374_0_23,660374_0,23,draw/unknown,elimination,False,0,0,,vlr
660374_0_24,660374_0,24,draw/unknown,elimination,False,0,0,,vlr
660374_2_1,660374_2,1,draw/unknown,elimination,False,0,0,,vlr
660374_2_1,660374_2,1,draw/unknown,elimination,False,0,0,,vlr
660374_2_1,660374_2,1,draw/unknown,elimination,False,0,0,,vlr
660374_2_2,660374_2,2,draw/unknown,elimination,False,0,0,,vlr
660374_2_3,660374_2,3,draw/unknown,elimination,False,0,0,,vlr
660374_2_4,660374_2,4,draw/unknown,elimination,False,0,0,,vlr
660374_2_5,660374_2,5,draw/unknown,elimination,False,0,0,,vlr
660374_2_6,660374_2,6,draw/unknown,elimination,False,0,0,,vlr
660374_2_7,660374_2,7,draw/unknown,elimination,False,0,0,,vlr
660374_2_8,660374_2,8,draw/unknown,elimination,False,0,0,,vlr
660374_2_9,660374_2,9,draw/unknown,elimination,False,0,0,,vlr
660374_2_10,660374_2,10,draw/unknown,elimination,False,0,0,,vlr
660374_2_11,660374_2,11,draw/unknown,elimination,False,0,0,,vlr
660374_2_12,660374_2,12,draw/unknown,elimination,False,0,0,,vlr
660374_2_13,660374_2,13,draw/unknown,elimination,False,0,0,,vlr
660374_2_14,660374_2,14,draw/unknown,elimination,False,0,0,,vlr
660374_2_15,660374_2,15,draw/unknown,elimination,False,0,0,,vlr
660374_2_16,660374_2,16,draw/unknown,elimination,False,0,0,,vlr
